,Lone_Parent_Families,LIM_AT,Immigrants,Visible_Minority,Renters,Core_Housing_Need,Unaffordable_Housing,Participation_Rate,Employment_Rate,Unemployment_Rate,No_Diploma,Bachelors_Degree
Agincourt North,21.3,19995,26365,1720,6550,4380,2220,34.7,55.4,50.0,9.8,1650
Agincourt South-Malvern West,22.6,15095,20155,2250,4035,4210,1795,38.2,59.0,53.2,9.8,1360
Alderwood,8.2,3970,2490,950,2005,1660,540,21.7,66.5,62.4,6.1,670
Annex,18.3,8270,7270,9870,1585,9135,2420,40.4,70.6,65.8,6.7,895
Banbury-Don Mills,13.7,13195,12700,4735,2295,6500,2115,33.4,59.9,55.6,7.2,1255
Bathurst Manor,17.0,8020,5420,2800,1665,3075,1375,35.8,65.0,60.3,7.2,880
Bay Street Corridor,37.7,10455,15925,10245,700,8370,1760,56.5,62.7,56.2,10.2,795
Bayview Village,23.7,12625,14505,3930,1310,6055,1690,45.5,63.4,58.5,7.7,1020
Bayview Woods-Steeles,18.4,7535,8250,1985,1295,3060,860,38.6,55.7,51.3,8.0,695
Bedford Park-Nortown,9.4,6805,4845,2595,1985,5655,1115,27.0,63.8,60.3,5.5,790
Beechborough-Greenbrook,28.0,3425,3760,1755,1605,445,835,35.8,59.5,52.7,11.4,695
Bendale,23.4,15865,21075,3765,4750,4550,2240,38.3,58.0,52.9,8.8,1630
Birchcliffe-Cliffside,14.5,6080,5740,3055,2930,3470,1655,29.5,65.4,59.6,8.8,1270
Black Creek,33.0,12705,17435,4880,6420,1235,2690,36.7,54.8,47.8,12.7,2380
Blake-Jones,24.5,2420,2960,1435,1175,1550,735,31.1,65.0,59.6,8.5,525
Briar Hill-Belgravia,17.0,8555,6500,2900,2545,2360,1395,34.0,67.6,61.8,8.7,925
Bridle Path-Sunnybrook-York Mills,8.8,3150,2765,295,615,2585,115,22.7,58.3,53.6,8.0,285
Broadview North,22.6,4790,3135,3855,1665,2215,1760,40.2,66.5,61.1,8.2,645
Brookhaven-Amesbury,24.7,9725,11630,3860,4270,1435,2325,40.3,63.5,57.1,10.0,1730
Cabbagetown-South St. James Town,20.8,3770,3170,3590,770,2925,1415,38.5,71.3,65.6,8.0,375
Caledonia-Fairbank,14.2,5285,3585,1300,2925,850,710,30.0,65.9,61.1,7.2,605
Casa Loma,12.5,2885,1870,3235,490,3315,715,36.6,67.2,62.8,6.6,315
Centennial Scarborough,6.2,4990,5810,280,1295,2925,320,17.5,64.2,59.3,7.6,590
Church-Yonge Corridor,26.0,10935,12440,13865,1220,10405,3185,45.1,75.1,68.7,8.5,760
Clairlea-Birchmount,19.5,13115,16110,3180,4215,3825,2150,34.2,65.3,59.6,8.7,1610
Clanton Park,14.9,7485,6305,3010,1735,3495,1430,34.1,67.9,63.8,6.1,815
Cliffcrest,17.9,5835,6570,1955,2165,2455,1225,29.2,61.9,55.9,9.7,880
Corso Italia-Davenport,13.4,6095,3545,2055,3390,2135,985,32.0,68.1,63.2,7.2,830
Danforth,14.2,2855,2480,1400,1440,2090,760,30.3,68.5,64.3,6.2,400
Danforth East York,13.6,5575,5090,2060,2500,3350,1275,27.1,67.0,62.4,6.9,840
Don Valley Village,23.5,17865,19025,4870,2505,5995,2490,40.8,61.0,55.1,9.6,1470
Dorset Park,22.3,14685,18940,3400,3975,3485,2505,38.0,63.3,57.1,9.7,1625
Dovercourt-Wallace Emerson-Junction,17.1,14395,12275,7665,7105,7085,3195,37.1,70.3,65.2,7.2,1865
Downsview-Roding-CFB,19.4,19515,20070,6855,8590,3350,3650,33.6,61.7,56.8,7.9,2765
Dufferin Grove,18.0,4395,3630,3235,2150,2590,1215,39.9,72.4,67.1,7.5,490
East End-Danforth,18.8,5920,6475,4190,2290,4430,1970,31.2,70.1,64.3,8.2,1220
Edenbridge-Humber Valley,10.5,5950,3230,2745,1725,3155,1165,30.3,64.4,60.5,6.1,835
Eglinton East,26.0,13000,17375,4355,3925,2575,2570,35.7,59.2,52.8,10.8,1925
Elms-Old Rexdale,23.2,4725,6365,1470,1870,820,915,33.4,60.7,54.6,10.0,885
Englemount-Lawrence,21.3,9785,8855,4795,2675,3730,2235,36.4,63.0,57.4,8.9,1430
Eringate-Centennial-West Deane,9.7,8190,5130,1055,2435,3360,900,22.8,63.6,58.9,7.4,1060
Etobicoke West Mall,18.3,5805,4520,2175,1730,1810,1120,37.2,65.7,60.5,7.9,820
Flemingdon Park,34.7,14030,17220,4335,3825,3265,3085,44.8,56.5,50.6,10.6,1365
Forest Hill North,15.5,4975,3570,3590,880,3015,1235,35.8,70.9,65.6,7.4,570
Forest Hill South,10.7,2755,1775,2320,690,2900,755,33.3,65.8,62.1,5.6,305
Glenfield-Jane Heights,25.7,17790,23155,4810,9560,1610,3325,33.0,55.0,48.7,11.5,3350
Greenwood-Coxwell,19.7,4385,5625,2455,1960,3045,1285,32.5,69.1,64.2,7.2,830
Guildwood,7.7,3130,2870,905,1080,1785,510,23.8,59.5,54.7,7.9,535
Henry Farm,29.6,9525,12030,4010,1210,3985,1590,48.5,65.2,58.5,10.3,780
High Park North,16.5,7670,5185,7295,1535,5975,2210,36.6,72.2,67.1,7.1,890
High Park-Swansea,11.1,6565,4465,4745,1575,6390,1560,30.1,73.3,68.9,6.0,970
Highland Creek,10.5,7015,9290,410,1625,2150,365,24.4,60.9,55.8,8.5,515
Hillcrest Village,21.9,11285,12785,1505,1865,3980,1385,35.5,53.6,49.1,8.3,940
Humber Heights-Westmount,14.6,4645,2745,1620,1555,1515,885,32.2,59.1,54.8,7.4,710
Humber Summit,19.7,7280,8140,1165,3495,1005,960,31.8,56.1,50.7,9.6,825
Humbermede,22.7,9440,11970,2400,3635,1370,1465,37.4,60.7,54.6,10.2,1320
Humewood-Cedarvale,15.7,4660,4095,4240,1125,3505,1435,35.7,73.7,68.5,7.1,615
Ionview,23.3,7795,9950,3140,2385,1670,1525,33.5,61.1,55.7,8.8,1085
Islington-City Centre West,15.8,19590,16035,8105,4440,9970,3470,33.0,68.6,63.6,7.3,2305
Junction Area,13.5,4550,4160,2460,1695,3250,1035,32.6,74.1,69.9,5.6,695
Keelesdale-Eglinton West,18.3,6185,4700,1610,3640,835,1065,36.0,59.9,54.7,8.6,715
Kennedy Park,26.3,9465,11885,2980,2990,2035,1840,35.5,59.4,54.0,9.1,1310
Kensington-Chinatown,33.2,7615,10520,6200,2850,4070,2200,47.9,62.6,57.5,8.2,860
Kingsview Village-The Westway,24.9,11425,13130,3735,4170,2540,2175,35.1,57.8,52.1,9.9,1770
Kingsway South,4.5,1960,1100,660,545,2605,175,19.8,63.2,58.6,7.5,265
Lambton Baby Point,18.5,2410,1950,1280,855,1660,630,23.9,66.8,61.8,7.6,510
L'Amoreaux,23.5,28325,33540,5205,8055,6920,4265,37.9,56.6,50.4,10.9,2850
Lansing-Westgate,17.6,7075,6930,2740,1050,4400,970,38.5,67.4,62.5,7.2,680
Lawrence Park North,6.7,3340,3110,1315,870,4140,500,22.4,70.4,65.9,6.4,490
Lawrence Park South,7.3,3180,2560,1750,945,4315,490,22.8,68.2,63.1,7.5,470
Leaside-Bennington,6.9,3375,2935,1800,1125,4665,740,22.0,68.5,63.7,6.9,600
Little Portugal,15.6,4835,4265,4145,2385,4010,1280,42.1,78.0,73.0,6.4,620
Long Branch,17.6,3445,2305,2575,1320,1735,1085,35.4,70.6,65.6,7.1,595
Malvern,20.4,26900,39195,4020,7345,5465,3485,35.7,62.0,55.5,10.5,3150
Maple Leaf,15.2,5245,4300,1560,2395,1310,820,28.3,61.4,56.5,8.1,640
Markland Wood,8.3,3890,1395,1105,1070,2390,660,24.5,59.8,56.1,6.2,495
Milliken,22.1,18265,25165,860,6320,3700,2010,38.8,54.5,49.3,9.5,1590
Mimico (includes Humber Bay Shores),18.2,13425,10395,8635,3570,7560,3420,39.8,70.9,66.6,6.2,1610
Morningside,23.8,9495,12865,2345,2465,2255,1495,35.7,61.3,54.4,11.4,1200
Moss Park,31.9,6470,7860,7630,1680,5480,2520,39.9,72.4,67.5,6.9,720
Mount Dennis,25.3,7430,9005,2740,2810,1045,1770,41.2,63.6,56.6,10.8,1340
Mount Olive-Silverstone-Jamestown,27.9,21500,28455,5455,7895,3015,3550,37.4,57.4,50.4,12.1,2535
Mount Pleasant East,10.3,4510,3825,3230,1015,4720,1100,29.4,70.5,65.7,6.9,615
Mount Pleasant West,20.8,11295,9730,13070,1500,9275,3440,41.7,74.5,69.5,6.7,1135
New Toronto,24.8,3970,3615,3040,1610,1990,1380,39.4,66.7,60.9,8.7,780
Newtonbrook East,27.4,9945,11215,2155,1485,4290,1275,48.0,57.9,52.8,8.8,705
Newtonbrook West,26.3,15665,13825,4250,2450,5030,2345,46.3,59.7,54.7,8.4,1355
Niagara,13.7,8995,10665,9395,1280,11835,2040,38.3,86.6,82.7,4.5,885
North Riverdale,10.9,2925,2815,2205,1040,3030,770,26.1,73.5,69.6,5.3,490
North St. James Town,36.5,9485,12270,8610,2040,4010,3190,44.0,67.5,60.4,10.4,945
Oakridge,42.6,7520,10250,3595,2270,1660,2230,43.4,57.2,48.8,14.6,845
Oakwood Village,18.6,9965,9045,4085,4450,3270,2430,36.7,65.7,61.2,6.8,1425
O'Connor-Parkview,22.5,6890,6975,4005,2905,2735,2035,38.0,62.2,56.0,10.1,1250
Old East York,13.5,3025,2470,1320,1340,1685,680,28.9,66.0,62.9,5.0,485
Palmerston-Little Italy,13.8,4100,2950,3715,1795,3805,1060,37.8,74.2,69.1,6.8,485
Parkwoods-Donalda,20.6,17210,19075,8020,4140,6105,3255,37.1,63.1,57.3,9.2,2560
Pelmo Park-Humberlea,11.4,4930,4675,645,2210,1220,640,31.4,65.4,61.5,6.0,675
Playter Estates-Danforth,13.6,1795,1560,1920,635,1980,730,37.2,72.1,67.6,6.4,270
Pleasant View,17.5,9765,10155,1340,2355,3090,995,32.7,59.0,53.1,10.0,855
Princess-Rosethorn,7.2,3360,2105,595,955,2755,330,19.3,63.3,59.5,6.0,405
Regent Park,42.3,5015,7470,3700,1870,2060,1340,39.4,62.6,56.6,9.6,720
Rexdale-Kipling,18.6,4975,5365,1685,1960,1185,935,30.7,62.8,55.9,10.9,785
Rockcliffe-Smythe,22.8,11020,10225,3920,5695,1930,2485,35.2,59.8,54.3,9.2,1740
Roncesvalles,19.9,4395,3795,3885,1800,3435,1580,37.8,71.7,66.9,6.7,610
Rosedale-Moore Park,10.2,5495,3740,4485,1045,6010,1010,30.4,63.9,60.1,6.0,595
Rouge,9.5,25575,37315,2205,6580,6765,1870,29.3,64.7,59.4,8.2,2470
Runnymede-Bloor West Village,6.9,2335,1600,815,960,2455,350,21.1,72.6,69.0,5.1,395
Rustic,31.7,5105,5810,2265,2550,585,1285,33.3,52.4,47.8,9.1,1155
Scarborough Village,32.4,8975,12065,3235,2955,1810,2275,41.4,57.7,50.2,13.0,1315
South Parkdale,30.5,8920,9920,9865,3050,4210,4085,49.1,70.7,64.7,8.6,1140
South Riverdale,18.7,8210,11225,4840,4050,6305,2000,31.0,71.4,66.8,6.5,1375
St.Andrew-Windfields,15.9,8835,8940,2140,1440,4200,870,33.9,61.5,56.3,8.3,870
Steeles,21.0,17440,22075,1260,4975,4320,1970,37.4,52.2,47.3,9.5,1345
Stonegate-Queensway,11.6,8635,4595,3665,2720,5335,1715,27.4,67.5,63.0,6.7,1175
Tam O'Shanter-Sullivan,23.8,16725,20325,4390,4460,4830,2895,38.0,55.8,50.7,9.1,1635
Taylor-Massey,32.9,8705,10355,4215,2030,2435,2460,44.2,63.3,56.1,11.5,895
The Beaches,9.4,4225,2980,3540,1455,5705,1255,28.5,72.2,68.0,5.7,900
Thistletown-Beaumond Heights,17.8,5465,6510,1245,2075,1175,800,32.4,60.3,54.1,10.4,695
Thorncliffe Park,45.5,13270,16495,6335,3195,3125,3090,50.0,55.7,48.6,12.6,870
Trinity-Bellwoods,14.7,5810,4820,3305,3115,3515,1200,36.0,69.4,65.1,6.1,700
University,22.4,2015,2205,2125,520,1965,580,46.5,71.5,65.5,8.3,220
Victoria Village,25.9,9185,10155,4350,2930,2630,2230,38.1,59.2,53.2,10.1,1290
Waterfront Communities-The Island,16.5,23820,28895,23930,1900,27280,4400,40.5,82.4,78.2,5.2,1685
West Hill,25.2,13345,17075,4055,4990,3015,2830,32.4,58.5,51.7,11.6,2350
West Humber-Clairville,15.8,19230,26945,3275,5905,4245,1985,31.7,64.1,58.0,9.6,1960
Westminster-Branson,24.4,18155,11715,6165,2745,5195,3465,46.0,61.8,56.2,9.2,1735
Weston,29.6,8690,10755,4795,3630,1705,2730,42.6,62.1,55.5,10.6,1630
Weston-Pelham Park,20.4,5370,4210,1750,3095,1130,1000,30.8,63.3,58.0,8.5,765
Wexford/Maryvale,19.2,13905,15285,4015,4395,3770,2435,32.7,61.5,55.9,9.0,1775
Willowdale East,30.3,31040,37715,8505,3110,15435,3525,49.9,61.1,55.9,8.5,2345
Willowdale West,27.1,9390,9630,2755,1405,4700,1380,45.8,57.9,52.2,9.8,640
Willowridge-Martingrove-Richview,15.0,10030,8870,3925,3440,3655,1780,31.2,58.5,53.5,8.5,1365
Woburn,27.2,30185,40510,8670,8850,7575,5335,35.9,58.0,51.9,10.6,3460
Woodbine Corridor,15.8,2935,3380,2275,1430,2795,995,28.7,71.9,66.4,7.7,685
Woodbine-Lumsden,15.2,2190,2435,1095,1015,1435,695,32.0,70.2,65.5,6.6,430
Wychwood,16.7,4345,3635,3040,1860,2770,1280,35.4,69.2,65.6,5.2,745
Yonge-Eglinton,12.0,3180,3155,3480,575,3625,825,34.1,73.2,68.2,6.9,425
Yonge-St.Clair,12.9,3580,2555,4315,460,3720,1045,36.1,69.4,65.2,5.9,395
York University Heights,24.4,15595,19135,5565,5125,3910,2895,40.1,63.0,56.3,10.7,2080
Yorkdale-Glen Park,16.8,7265,6340,2045,3445,1595,1050,30.9,60.1,55.3,8.0,1000
