Neighbourhood,Population,Participation_Rate,Employment_Rate,Unemployment_Rate,Bachelors_Degree,No_Diploma,Visible_Minority,Renters,Immigrant_Population,Lone_Parent_Families,Low_Income_AfterTax_Pct
Agincourt North,30279.0,57.9,51.3,11.3,3530.0,5965.0,27025.0,1805.0,21490.0,1595.0,18.8
Agincourt South-Malvern West,21988.0,59.3,53.0,10.7,2520.0,4070.0,17780.0,1640.0,14225.0,1245.0,17.9
Alderwood,11904.0,66.0,61.1,7.4,1170.0,2290.0,1955.0,1025.0,4165.0,710.0,9.4
Annex,29177.0,71.8,66.6,7.3,6040.0,1690.0,6010.0,9780.0,8560.0,870.0,20.3
Banbury-Don Mills,26918.0,61.3,57.0,7.1,4370.0,2300.0,11930.0,4730.0,12765.0,1165.0,12.8
Bathurst Manor,15434.0,62.8,57.9,7.8,1980.0,2440.0,4335.0,2795.0,8025.0,805.0,18.4
Bay Street Corridor,19348.0,65.8,59.6,9.3,3625.0,660.0,10315.0,7435.0,7740.0,600.0,31.6
Bayview Village,17671.0,62.8,57.5,8.4,3460.0,1260.0,10615.0,2570.0,10550.0,865.0,16.4
Bayview Woods-Steeles,13530.0,57.5,51.5,10.4,2215.0,1420.0,8210.0,1930.0,7775.0,690.0,20.2
Bedford Park-Nortown,23185.0,64.1,60.1,6.3,3725.0,1900.0,4090.0,2760.0,6475.0,730.0,12.2
Beechborough-Greenbrook,6488.0,60.4,53.5,11.6,225.0,1635.0,3475.0,1765.0,3485.0,700.0,30.9
Bendale,27876.0,59.8,53.5,10.5,2590.0,4455.0,18225.0,3270.0,14895.0,1455.0,20.3
Birchcliffe-Cliffside,21856.0,67.6,60.4,10.6,2565.0,3115.0,4435.0,3025.0,5555.0,1360.0,14.7
Black Creek,22057.0,56.6,49.0,13.6,760.0,5635.0,17800.0,4855.0,13345.0,2365.0,28.1
Blake-Jones,7763.0,65.0,58.8,9.6,1260.0,1495.0,2830.0,1485.0,2715.0,520.0,24.4
Briar Hill-Belgravia,14302.0,67.0,61.7,7.8,1860.0,2685.0,6485.0,2940.0,8785.0,930.0,17.1
Bridle Path-Sunnybrook-York Mills,8713.0,59.4,55.9,5.8,1675.0,635.0,1960.0,185.0,2580.0,215.0,8.2
Broadview North,11563.0,65.9,58.7,10.9,1695.0,1845.0,2620.0,3695.0,5250.0,675.0,24.2
Brookhaven-Amesbury,17787.0,62.2,56.2,9.7,1090.0,3825.0,11215.0,3725.0,9645.0,1680.0,24.2
Cabbagetown-South St. James Town,12053.0,73.7,68.3,7.4,2810.0,875.0,3085.0,3690.0,4035.0,415.0,16.2
Caledonia-Fairbank,9851.0,63.6,57.5,9.8,510.0,3040.0,3690.0,1090.0,5585.0,655.0,16.1
Casa Loma,10487.0,70.4,66.1,6.0,2440.0,525.0,1785.0,3095.0,2915.0,315.0,10.4
Centennial Scarborough,13093.0,68.2,62.9,7.8,1600.0,1140.0,4955.0,310.0,4880.0,560.0,6.6
Church-Yonge Corridor,28349.0,73.0,66.9,8.4,6960.0,1525.0,10455.0,12900.0,9960.0,690.0,27.1
Clairlea-Birchmount,24770.0,65.0,58.8,9.7,2905.0,3795.0,13390.0,2975.0,11980.0,1450.0,19.1
Clanton Park,14612.0,68.2,63.1,7.5,2195.0,1860.0,5010.0,2615.0,6540.0,730.0,15.3
Cliffcrest,15703.0,61.4,55.8,9.1,1580.0,2375.0,5540.0,1755.0,5450.0,875.0,17.3
Corso Italia-Davenport,13743.0,64.2,57.8,10.0,1520.0,3595.0,3875.0,1840.0,6610.0,830.0,16.4
Danforth,9444.0,66.1,61.8,6.5,1770.0,1630.0,2410.0,1410.0,2965.0,430.0,14.1
Danforth East York,16712.0,69.4,64.5,7.0,2685.0,2695.0,4375.0,1945.0,5720.0,800.0,13.2
Don Valley Village,26739.0,61.9,55.1,11.1,4300.0,2660.0,18190.0,4740.0,17620.0,1340.0,22.2
Dorset Park,24363.0,62.0,55.0,11.4,2210.0,4045.0,17830.0,3225.0,14600.0,1480.0,21.0
Dovercourt-Wallace Emerson-Junction,34631.0,68.4,63.0,7.9,4480.0,8195.0,11810.0,6485.0,15980.0,1930.0,17.6
Downsview-Roding-CFB,34659.0,61.4,55.2,10.0,2130.0,9045.0,18150.0,7140.0,19095.0,2715.0,19.7
Dufferin Grove,11449.0,71.3,66.4,6.9,2065.0,2010.0,3610.0,3100.0,4980.0,555.0,19.1
East End-Danforth,20839.0,70.6,65.2,7.8,3675.0,2660.0,5860.0,4185.0,5620.0,1240.0,16.8
Edenbridge-Humber Valley,14943.0,62.3,57.3,8.0,2050.0,1730.0,2610.0,2790.0,5885.0,730.0,14.4
Eglinton East,22829.0,58.6,50.3,14.1,1750.0,3980.0,16165.0,4470.0,12830.0,1930.0,27.2
Elms-Old Rexdale,9550.0,61.9,54.2,12.3,445.0,2020.0,5510.0,1310.0,4845.0,825.0,19.8
Englemount-Lawrence,22086.0,59.0,54.5,7.6,2695.0,2365.0,8235.0,4685.0,10010.0,1405.0,21.3
Eringate-Centennial-West Deane,18810.0,60.1,55.6,7.6,2090.0,2645.0,5180.0,1060.0,8180.0,1050.0,10.8
Etobicoke West Mall,10927.0,63.7,57.3,9.9,895.0,1685.0,4250.0,1790.0,5430.0,740.0,20.6
Flemingdon Park,22168.0,58.5,49.6,15.3,2000.0,3615.0,17110.0,4280.0,14170.0,1390.0,30.5
Forest Hill North,12474.0,70.2,64.1,8.6,2365.0,990.0,3075.0,3495.0,4750.0,555.0,14.9
Forest Hill South,10926.0,65.5,60.8,7.0,1950.0,720.0,1320.0,2160.0,2450.0,265.0,9.1
Glenfield-Jane Heights,31390.0,53.8,46.5,13.5,1030.0,9295.0,23905.0,5055.0,19040.0,3155.0,24.1
Greenwood-Coxwell,14083.0,66.0,59.3,10.1,2225.0,2570.0,5835.0,2290.0,5070.0,870.0,18.6
Guildwood,9816.0,59.6,55.7,6.4,1095.0,1045.0,2370.0,860.0,3180.0,545.0,8.9
Henry Farm,11333.0,63.1,55.0,12.8,1940.0,925.0,8530.0,2650.0,7440.0,620.0,28.3
High Park North,21292.0,72.7,67.1,7.8,4620.0,1595.0,4800.0,7000.0,8120.0,890.0,16.2
High Park-Swansea,21740.0,71.9,67.1,6.7,4535.0,1535.0,3430.0,3870.0,6385.0,890.0,11.6
Highland Creek,13097.0,65.8,60.0,8.8,1515.0,1295.0,9180.0,450.0,7275.0,550.0,7.9
Hillcrest Village,17656.0,54.3,49.4,9.1,2725.0,1980.0,12525.0,1485.0,12265.0,895.0,17.2
Humber Heights-Westmount,10583.0,59.3,54.3,8.3,1010.0,1620.0,2435.0,1350.0,4465.0,665.0,18.7
Humber Summit,12525.0,56.6,50.3,11.0,690.0,3740.0,7345.0,1045.0,7735.0,750.0,15.2
Humbermede,15853.0,61.9,53.8,13.1,975.0,3475.0,11725.0,2455.0,9655.0,1225.0,22.0
Humewood-Cedarvale,14108.0,73.2,68.3,6.7,2430.0,1285.0,4050.0,4210.0,4730.0,585.0,14.9
Ionview,13091.0,61.0,52.9,13.3,1070.0,2435.0,9115.0,3085.0,7425.0,1030.0,24.0
Islington-City Centre West,38084.0,65.9,61.1,7.3,5975.0,4075.0,12365.0,6295.0,16885.0,2010.0,14.7
Junction Area,14027.0,73.8,68.0,7.9,1750.0,1685.0,3520.0,1895.0,4605.0,735.0,12.3
Keelesdale-Eglinton West,10638.0,63.1,56.3,10.8,520.0,3425.0,4850.0,1470.0,6425.0,695.0,17.8
Kennedy Park,17058.0,56.0,49.4,11.8,1495.0,3100.0,11180.0,2865.0,9365.0,1355.0,28.5
Kensington-Chinatown,18495.0,63.5,57.1,10.1,2770.0,3400.0,11170.0,5975.0,8540.0,965.0,30.9
Kingsview Village-The Westway,21723.0,57.1,51.8,9.4,1685.0,4390.0,12185.0,3675.0,11750.0,1635.0,22.2
Kingsway South,9170.0,66.2,62.1,5.9,1825.0,670.0,1000.0,535.0,1855.0,285.0,3.5
Lambton Baby Point,7921.0,67.2,63.7,5.1,1280.0,940.0,1720.0,1235.0,2495.0,515.0,18.6
L'Amoreaux,44919.0,57.5,51.3,10.6,4635.0,8430.0,34310.0,4785.0,29640.0,2690.0,21.8
Lansing-Westgate,14642.0,66.9,61.5,8.0,2910.0,900.0,4935.0,2455.0,6065.0,610.0,16.0
Lawrence Park North,14541.0,71.7,67.7,5.7,3445.0,760.0,2265.0,1265.0,3020.0,490.0,5.8
Lawrence Park South,15070.0,69.5,63.9,8.2,3400.0,905.0,1900.0,1665.0,2855.0,455.0,6.9
Leaside-Bennington,17011.0,66.9,61.7,7.6,3415.0,1130.0,2180.0,1770.0,3200.0,605.0,7.0
Little Portugal,12050.0,68.2,64.5,5.7,1835.0,3040.0,3035.0,2825.0,5135.0,630.0,16.8
Long Branch,9632.0,70.9,64.7,8.7,1355.0,1455.0,2005.0,2240.0,3770.0,585.0,13.3
Malvern,45086.0,62.7,54.5,13.0,3695.0,7370.0,39345.0,3900.0,27865.0,3155.0,21.2
Maple Leaf,10197.0,63.0,58.6,6.9,750.0,2550.0,4385.0,1565.0,5625.0,595.0,16.2
Markland Wood,10436.0,59.9,55.0,8.3,1530.0,1020.0,1445.0,1085.0,4110.0,485.0,8.7
Milliken,27167.0,59.4,53.0,10.5,2915.0,5675.0,25360.0,1010.0,19560.0,1520.0,19.0
Mimico (includes Humber Bay Shores),26541.0,69.7,64.5,7.3,3785.0,3340.0,6690.0,6190.0,11055.0,1370.0,15.1
Morningside,17587.0,61.3,53.5,12.7,1495.0,2405.0,12530.0,2300.0,9695.0,1245.0,22.0
Moss Park,16306.0,71.5,65.3,8.6,3275.0,1620.0,5665.0,5690.0,4990.0,605.0,30.2
Mount Dennis,13145.0,65.3,56.4,13.6,895.0,2855.0,8270.0,2415.0,7270.0,1250.0,23.8
Mount Olive-Silverstone-Jamestown,32788.0,58.7,50.0,14.8,2450.0,6860.0,28175.0,5075.0,21670.0,2285.0,26.6
Mount Pleasant East,15982.0,73.9,69.1,6.4,3750.0,1010.0,2495.0,2970.0,3965.0,625.0,9.3
Mount Pleasant West,28593.0,75.2,69.7,7.4,7425.0,1725.0,8890.0,13020.0,10685.0,1040.0,17.8
New Toronto,10900.0,64.0,58.3,8.8,1310.0,1750.0,3265.0,3005.0,4040.0,770.0,24.4
Newtonbrook East,16423.0,58.7,53.2,9.4,3085.0,1620.0,10785.0,2015.0,10305.0,675.0,25.6
Newtonbrook West,23052.0,60.4,54.5,9.8,4025.0,2200.0,11635.0,3725.0,14985.0,1360.0,25.5
Niagara,21274.0,85.2,81.0,5.0,6335.0,1170.0,6260.0,4840.0,6055.0,695.0,14.1
North Riverdale,12191.0,73.1,68.7,5.9,2690.0,1250.0,2840.0,2205.0,3175.0,515.0,12.4
North St. James Town,17832.0,65.7,58.4,11.1,2735.0,1925.0,11480.0,8590.0,9530.0,885.0,39.7
Oakridge,13497.0,58.0,48.1,17.1,1110.0,2325.0,9120.0,3630.0,7755.0,875.0,40.4
Oakwood Village,21073.0,64.4,58.9,8.3,2455.0,4550.0,9105.0,3995.0,10755.0,1440.0,18.6
O'Connor-Parkview,18316.0,62.4,56.7,9.2,1870.0,2940.0,6410.0,3805.0,6660.0,1220.0,20.4
Old East York,9118.0,66.9,62.5,6.5,1375.0,1255.0,2315.0,1185.0,3270.0,495.0,11.8
