Neighbourhood,Population,Participation_Rate,Employment_Rate,Unemployment_Rate,Core_Housing_Need,Unaffordable_Housing,Low_Income_AfterTax_Pct,Bachelors_Degree_Pct,No_Diploma_Pct,Immigrant_Population_Pct,Visible_Minority_Pct,Renters_Pct,Lone_Parent_Families_Pct
Agincourt North,29113,55.4,50.0,9.8,2220,34.7,21.3,15.044825335760656,25.624291553601488,68.68065812523615,90.56091780304331,5.908013602170851,5.667571188129015
Agincourt South-Malvern West,23757,59.0,53.2,9.8,1795,38.2,22.6,17.721092730563623,25.634549816896072,63.539167403291664,84.83815296544176,9.470892789493623,5.724628530538368
Alderwood,12054,66.5,62.4,6.1,540,21.7,8.2,13.771362203417953,24.55616392898623,32.935125269620045,20.65704330512693,7.881201260992202,5.558320889331343
Annex,30526,70.6,65.8,6.7,2420,40.4,18.3,29.92530957216799,13.988075738714539,27.09165956889209,23.815763611347705,32.33309310096311,2.9319268820022275
Banbury-Don Mills,27695,59.9,55.6,7.2,2115,33.4,13.7,23.469940422458926,18.595414334717457,47.64397905759162,45.85665282541975,17.09694890774508,4.53150388156707
Bathurst Manor,15873,65.0,60.3,7.2,1375,35.8,17.0,19.372519372519374,21.35702135702136,50.526050526050525,34.14603414603415,17.640017640017643,5.544005544005544
Bay Street Corridor,25797,62.7,56.2,10.2,1760,56.5,37.7,32.44563321316432,22.25064930030624,40.52796836841493,61.73198433926426,39.71392022328178,3.081753692289801
Bayview Village,21396,63.4,58.5,7.7,1690,45.5,23.7,28.299682183585716,17.199476537670595,59.00635632828566,67.79304542905216,18.367919237240606,4.767246214245653
Bayview Woods-Steeles,13154,55.7,51.3,8.0,860,38.6,18.4,23.262885814201002,18.131366884597842,57.282955754903455,62.71856469514976,15.090466778166336,5.283563934924738
Bedford Park-Nortown,23236,63.8,60.3,5.5,1115,27.0,9.4,24.33723532449647,16.41848855224651,29.286452057152694,20.85126527801687,11.168015148906868,3.3998967119986228
Beechborough-Greenbrook,6577,59.5,52.7,11.4,835,35.8,28.0,6.766002736810097,23.03481830621864,52.0754143226395,57.16892200091227,26.68389843393644,10.567127869849475
Bendale,29960,58.0,52.9,8.8,2240,38.3,23.4,15.186915887850466,25.38384512683578,52.953938584779706,70.3437917222964,12.566755674232311,5.440587449933244
Birchcliffe-Cliffside,22291,65.4,59.6,8.8,1655,29.5,14.5,15.566820689964558,23.52967565385133,27.275582073482575,25.750302812794402,13.70508276883047,5.697366650217576
Black Creek,21737,54.8,47.8,12.7,2690,36.7,33.0,5.681556792565671,23.89934213552928,58.44872797534158,80.2088604683259,22.450200119611722,10.949073009154898
Blake-Jones,7727,65.0,59.6,8.5,735,31.1,24.5,20.059531512876923,17.406496699883526,31.31875242655623,38.307234372977874,18.5712436909538,6.794357447909927
