Neighbourhood,Population,Participation_Rate,Employment_Rate,Unemployment_Rate,Bachelors_Degree,No_Diploma,Immigrant_Population,Visible_Minority,Renters,Core_Housing_Need,Unaffordable_Housing,Lone_Parent_Families,Low_Income_AfterTax_Pct
Agincourt North,29113,55.4,50.0,9.8,4380,7460,19995,26365,1720,2220,34.7,1650,21.3
Agincourt South-Malvern West,23757,59.0,53.2,9.8,4210,6090,15095,20155,2250,1795,38.2,1360,22.6
Alderwood,12054,66.5,62.4,6.1,1660,2960,3970,2490,950,540,21.7,670,8.2
Annex,30526,70.6,65.8,6.7,9135,4270,8270,7270,9870,2420,40.4,895,18.3
Banbury-Don Mills,27695,59.9,55.6,7.2,6500,5150,13195,12700,4735,2115,33.4,1255,13.7
Bathurst Manor,15873,65.0,60.3,7.2,3075,3390,8020,5420,2800,1375,35.8,880,17.0
Bay Street Corridor,25797,62.7,56.2,10.2,8370,5740,10455,15925,10245,1760,56.5,795,37.7
Bayview Village,21396,63.4,58.5,7.7,6055,3680,12625,14505,3930,1690,45.5,1020,23.7
Bayview Woods-Steeles,13154,55.7,51.3,8.0,3060,2385,7535,8250,1985,860,38.6,695,18.4
Bedford Park-Nortown,23236,63.8,60.3,5.5,5655,3815,6805,4845,2595,1115,27.0,790,9.4
Beechborough-Greenbrook,6577,59.5,52.7,11.4,445,1515,3425,3760,1755,835,35.8,695,28.0
Bendale,29960,58.0,52.9,8.8,4550,7605,15865,21075,3765,2240,38.3,1630,23.4
Birchcliffe-Cliffside,22291,65.4,59.6,8.8,3470,5245,6080,5740,3055,1655,29.5,1270,14.5
Black Creek,21737,54.8,47.8,12.7,1235,5195,12705,17435,4880,2690,36.7,2380,33.0
Blake-Jones,7727,65.0,59.6,8.5,1550,1345,2420,2960,1435,735,31.1,525,24.5
Briar Hill-Belgravia,14257,67.6,61.8,8.7,2360,3080,8555,6500,2900,1395,34.0,925,17.0
Bridle Path-Sunnybrook-York Mills,9266,58.3,53.6,8.0,2585,1500,3150,2765,295,115,22.7,285,8.8
Broadview North,11499,66.5,61.1,8.2,2215,2295,4790,3135,3855,1760,40.2,645,22.6
Brookhaven-Amesbury,17757,63.5,57.1,10.0,1435,4150,9725,11630,3860,2325,40.3,1730,24.7
Cabbagetown-South St. James Town,11669,71.3,65.6,8.0,2925,2065,3770,3170,3590,1415,38.5,375,20.8
Caledonia-Fairbank,9955,65.9,61.1,7.2,850,2175,5285,3585,1300,710,30.0,605,14.2
Casa Loma,10968,67.2,62.8,6.6,3315,1690,2885,1870,3235,715,36.6,315,12.5
Centennial Scarborough,13362,64.2,59.3,7.6,2925,2820,4990,5810,280,320,17.5,590,6.2
Church-Yonge Corridor,31340,75.1,68.7,8.5,10405,5510,10935,12440,13865,3185,45.1,760,26.0
Clairlea-Birchmount,26984,65.3,59.6,8.7,3825,6165,13115,16110,3180,2150,34.2,1610,19.5
Clanton Park,16472,67.9,63.8,6.1,3495,3245,7485,6305,3010,1430,34.1,815,14.9
Cliffcrest,15935,61.9,55.9,9.7,2455,3925,5835,6570,1955,1225,29.2,880,17.9
Corso Italia-Davenport,14133,68.1,63.2,7.2,2135,2875,6095,3545,2055,985,32.0,830,13.4
Danforth,9666,68.5,64.3,6.2,2090,1670,2855,2480,1400,760,30.3,400,14.2
Danforth East York,17180,67.0,62.4,6.9,3350,3045,5575,5090,2060,1275,27.1,840,13.6
Don Valley Village,27051,61.0,55.1,9.6,5995,5220,17865,19025,4870,2490,40.8,1470,23.5
Dorset Park,25003,63.3,57.1,9.7,3485,5985,14685,18940,3400,2505,38.0,1625,22.3
Dovercourt-Wallace Emerson-Junction,36625,70.3,65.2,7.2,7085,7335,14395,12275,7665,3195,37.1,1865,17.1
Downsview-Roding-CFB,35052,61.7,56.8,7.9,3350,8365,19515,20070,6855,3650,33.6,2765,19.4
Dufferin Grove,11785,72.4,67.1,7.5,2590,2125,4395,3630,3235,1215,39.9,490,18.0
East End-Danforth,21381,70.1,64.3,8.2,4430,3915,5920,6475,4190,1970,31.2,1220,18.8
Edenbridge-Humber Valley,15535,64.4,60.5,6.1,3155,3175,5950,3230,2745,1165,30.3,835,10.5
Eglinton East,22776,59.2,52.8,10.8,2575,5645,13000,17375,4355,2570,35.7,1925,26.0
Elms-Old Rexdale,9456,60.7,54.6,10.0,820,2620,4725,6365,1470,915,33.4,885,23.2
Englemount-Lawrence,22372,63.0,57.4,8.9,3730,4340,9785,8855,4795,2235,36.4,1430,21.3
