Neighbourhood,Population,Participation_Rate,Employment_Rate,Unemployment_Rate,Bachelors_Degree_Pct,No_Diploma_Pct,Immigrant_Population_Pct,Visible_Minority_Pct,Renters_Pct,Core_Housing_Need,Unaffordable_Housing,Lone_Parent_Families_Pct,Low_Income_AfterTax_Pct,Cluster
Agincourt North,29113,55.4,50.0,9.8,15.044825335760656,25.624291553601488,68.68065812523615,90.56091780304332,5.908013602170851,2220,34.7,5.667571188129015,21.3,1
Agincourt South-Malvern West,23757,59.0,53.2,9.8,17.721092730563623,25.634549816896072,63.539167403291664,84.83815296544176,9.470892789493623,1795,38.2,5.724628530538368,22.6,1
Alderwood,12054,66.5,62.4,6.1,13.771362203417953,24.55616392898623,32.935125269620045,20.65704330512693,7.881201260992202,540,21.7,5.558320889331343,8.2,0
Annex,30526,70.6,65.8,6.7,29.92530957216799,13.98807573871454,27.09165956889209,23.815763611347705,32.33309310096311,2420,40.4,2.9319268820022275,18.3,2
Banbury-Don Mills,27695,59.9,55.6,7.2,23.46994042245893,18.595414334717457,47.64397905759162,45.85665282541975,17.09694890774508,2115,33.4,4.53150388156707,13.7,0
Bathurst Manor,15873,65.0,60.3,7.2,19.37251937251937,21.35702135702136,50.526050526050525,34.14603414603415,17.640017640017643,1375,35.8,5.544005544005544,17.0,0
Bay Street Corridor,25797,62.7,56.2,10.2,32.44563321316432,22.25064930030624,40.52796836841493,61.73198433926426,39.71392022328178,1760,56.5,3.081753692289801,37.7,2
Bayview Village,21396,63.4,58.5,7.7,28.29968218358572,17.199476537670595,59.00635632828566,67.79304542905216,18.367919237240606,1690,45.5,4.767246214245653,23.7,1
Bayview Woods-Steeles,13154,55.7,51.3,8.0,23.262885814201,18.13136688459784,57.282955754903455,62.71856469514976,15.090466778166336,860,38.6,5.283563934924738,18.4,1
Bedford Park-Nortown,23236,63.8,60.3,5.5,24.33723532449647,16.41848855224651,29.28645205715269,20.85126527801687,11.168015148906868,1115,27.0,3.3998967119986228,9.4,0
Beechborough-Greenbrook,6577,59.5,52.7,11.4,6.766002736810097,23.03481830621864,52.0754143226395,57.16892200091227,26.68389843393644,835,35.8,10.567127869849475,28.0,1
Bendale,29960,58.0,52.9,8.8,15.186915887850466,25.38384512683578,52.953938584779706,70.3437917222964,12.566755674232311,2240,38.3,5.440587449933244,23.4,1
Birchcliffe-Cliffside,22291,65.4,59.6,8.8,15.566820689964558,23.52967565385133,27.27558207348257,25.7503028127944,13.70508276883047,1655,29.5,5.697366650217576,14.5,0
Black Creek,21737,54.8,47.8,12.7,5.681556792565671,23.89934213552928,58.44872797534158,80.2088604683259,22.45020011961172,2690,36.7,10.949073009154898,33.0,1
Blake-Jones,7727,65.0,59.6,8.5,20.059531512876923,17.406496699883526,31.31875242655623,38.307234372977874,18.5712436909538,735,31.1,6.794357447909927,24.5,0
Briar Hill-Belgravia,14257,67.6,61.8,8.7,16.553272076874517,21.603422879988777,60.00561127867012,45.59163919478152,20.34088517921021,1395,34.0,6.488040962334292,17.0,1
Bridle Path-Sunnybrook-York Mills,9266,58.3,53.6,8.0,27.89769048132959,16.188214979494926,33.99525145693934,29.840276278868984,3.183682279300669,115,22.7,3.075760846104036,8.8,0
Broadview North,11499,66.5,61.1,8.2,19.262544569092967,19.95825723975998,41.6557961561875,27.26324028176364,33.52465431776676,1760,40.2,5.609183407252805,22.6,2
Brookhaven-Amesbury,17757,63.5,57.1,10.0,8.081320042800023,23.37106493213944,54.76713408796531,65.49529762910402,21.73790617784536,2325,40.3,9.7426367066509,24.7,1
Cabbagetown-South St. James Town,11669,71.3,65.6,8.0,25.066415288370894,17.696460707858428,32.30782414945582,27.1659953723541,30.765275516325307,1415,38.5,3.2136429856885766,20.8,2
Caledonia-Fairbank,9955,65.9,61.1,7.2,8.538422903063788,21.84831742842793,53.088900050226016,36.012054244098444,13.058764439979909,710,30.0,6.077348066298343,14.2,0
Casa Loma,10968,67.2,62.8,6.6,30.22428884026258,15.408460977388764,26.303792851932894,17.049598832968634,29.49489423778264,715,36.6,2.8719912472647704,12.5,2
Centennial Scarborough,13362,64.2,59.3,7.6,21.890435563538396,21.10462505612932,37.34470887591678,43.4815147433019,2.095494686424188,320,17.5,4.415506660679539,6.2,0
Church-Yonge Corridor,31340,75.1,68.7,8.5,33.200382897255906,17.581365666879385,34.89151244416082,39.6936821952776,44.24058710912572,3185,45.1,2.4250159540523293,26.0,2
Clairlea-Birchmount,26984,65.3,59.6,8.7,14.175066706196263,22.84687222057516,48.60287577823896,59.70204565668544,11.784761340053365,2150,34.2,5.966498665876075,19.5,1
