Neighbourhood,Population_2016,Employment_Rate,Employment_Rate_Male,Employment_Rate_Female,Low_Income_Pct
City of Toronto,"2,731,571",59.3,63.8,55.2,20.2
Agincourt North,"29,113",50,54.5,46,21.3
Agincourt South-Malvern West,"23,757",53.2,58.2,48.7,22.6
Alderwood,"12,054",62.4,67.1,57.9,8.2
Annex,"30,526",65.8,68.9,63.1,18.3
Banbury-Don Mills,"27,695",55.6,62,50.2,13.7
Bathurst Manor,"15,873",60.3,64.6,56.4,17
Bay Street Corridor,"25,797",56.2,61.2,51.7,37.7
Bayview Village,"21,396",58.5,63.7,54,23.7
Bayview Woods-Steeles,"13,154",51.3,56.6,46.8,18.4
Bedford Park-Nortown,"23,236",60.3,65,56.3,9.4
Beechborough-Greenbrook,"6,577",52.7,56.8,49.1,28
Bendale,"29,960",52.9,57.8,48.5,23.4
Birchcliffe-Cliffside,"22,291",59.6,62.8,56.7,14.5
Black Creek,"21,737",47.8,54.1,42.6,33
Blake-Jones,"7,727",59.6,61.8,57.5,24.5
Briar Hill-Belgravia,"14,257",61.8,65.5,58.6,17
Bridle Path-Sunnybrook-York Mills,"9,266",53.6,62.8,45.3,8.8
Broadview North,"11,499",61.1,66,56.7,22.6
Brookhaven-Amesbury,"17,757",57.1,62,53,24.7
Cabbagetown-South St. James Town,"11,669",65.6,67.9,62.6,20.8
Caledonia-Fairbank,"9,955",61.1,64.6,57.7,14.2
Casa Loma,"10,968",62.8,68.4,58,12.5
Centennial Scarborough,"13,362",59.3,62.2,56.6,6.2
Church-Yonge Corridor,"31,340",68.7,70.8,66.1,26
Clairlea-Birchmount,"26,984",59.6,63.5,56,19.5
Clanton Park,"16,472",63.8,64.6,63.1,14.9
Cliffcrest,"15,935",55.9,61,51.1,17.9
Corso Italia-Davenport,"14,133",63.2,66.9,59.5,13.4
Danforth,"9,666",64.3,65.6,62.6,14.2
Danforth East York,"17,180",62.4,65.2,59.8,13.6
Don Valley Village,"27,051",55.1,60.2,50.6,23.5
Dorset Park,"25,003",57.1,62.7,52.3,22.3
Dovercourt-Wallace Emerson-Junction,"36,625",65.2,68.6,62,17.1
Downsview-Roding-CFB,"35,052",56.8,60.6,53.4,19.4
Dufferin Grove,"11,785",67.1,71,63.1,18
East End-Danforth,"21,381",64.3,66.4,62.3,18.8
Edenbridge-Humber Valley,"15,535",60.5,66.9,54.9,10.5
Eglinton East,"22,776",52.8,58.3,48.1,26
Elms-Old Rexdale,"9,456",54.6,57.9,51.7,23.2
Englemount-Lawrence,"22,372",57.4,60.7,54.8,21.3
